성별,연령,학력,직업,소득,스마트폰보유,검색능력,정보판별1(사실확인),정보판별2(근거확인),정보판별3(상업적의도확인),정보판별4(정치적의도확인),SNS피드확인,SNS좋아요댓글,OTT이용빈도,AI인지수준,AI이용여부,소득그룹,소외군라벨,소외이진라벨,Active_Score,Info_Literacy_Index,SNS_Intensity,고령여부
1,6,5,0,1,1,5,2,2,3,3,9.0,6.0,8.0,2,0,0,1,1,23.0,10,15.0,1
1,3,5,1,5,1,5,2,2,3,1,9.0,8.0,8.0,2,0,1,1,1,25.0,8,17.0,0
0,3,5,1,5,1,5,2,2,1,1,6.0,7.0,8.0,3,0,1,2,0,21.0,6,13.0,0
0,6,5,1,5,1,5,2,2,2,2,9.0,7.0,8.0,3,0,1,2,0,24.0,8,16.0,1
0,4,5,1,5,1,5,3,2,3,1,9.0,6.0,8.0,3,0,1,2,0,23.0,9,15.0,0
0,6,5,1,7,1,5,5,4,5,4,,,7.0,3,0,2,2,0,,18,,1
1,6,4,0,1,1,5,3,3,3,3,4.0,2.0,8.0,2,0,0,1,1,14.0,12,6.0,1
0,3,5,0,1,1,5,5,4,3,3,11.0,11.0,8.0,3,1,0,0,0,30.0,15,22.0,0
1,5,5,1,8,1,5,4,4,4,2,3.0,5.0,4.0,3,0,2,2,0,12.0,14,8.0,0
1,2,4,0,1,1,5,3,2,2,2,11.0,12.0,8.0,4,1,0,0,0,31.0,9,23.0,0
1,5,5,0,1,1,5,4,4,4,3,,,8.0,3,1,0,0,0,,15,,0
1,2,4,0,1,1,5,3,3,2,2,,,5.0,3,1,0,0,0,,10,,0
1,2,4,0,1,1,5,3,2,2,2,,,8.0,4,1,0,0,0,,9,,0
0,6,5,1,7,1,5,4,4,4,4,9.0,4.0,8.0,2,0,2,1,1,21.0,16,13.0,1
1,6,4,1,5,1,5,1,1,1,1,2.0,2.0,8.0,2,0,1,1,1,12.0,4,4.0,1
1,3,5,1,3,1,5,4,4,4,4,11.0,4.0,8.0,3,0,0,2,0,23.0,16,15.0,0
1,2,4,0,1,1,5,3,3,3,1,9.0,10.0,8.0,3,1,0,0,0,27.0,10,19.0,0
0,8,4,0,3,1,4,3,3,3,3,,,,3,0,0,2,0,,12,,1
0,5,5,1,6,1,5,5,5,4,4,3.0,4.0,8.0,3,1,1,0,0,15.0,18,7.0,0
1,5,6,1,7,1,5,1,1,2,3,5.0,5.0,7.0,2,0,2,1,1,17.0,7,10.0,0
0,2,3,0,1,1,5,2,1,3,3,10.0,6.0,8.0,3,0,0,2,0,24.0,9,16.0,0
0,6,4,1,5,1,5,3,4,4,3,6.0,6.0,8.0,2,0,1,1,1,20.0,14,12.0,1
1,6,4,1,4,1,4,3,3,4,4,,,8.0,2,0,1,1,1,,14,,1
